category,severity,message,path,start_line,start_column,end_line,end_column
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/History'].get.tags[0],2482,11,2482,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions/{BankTransactionID}/History'].get.responses,2487,7,2487,16
descriptions,info,operation method `PUT` at path `/BankTransactions/{BankTransactionID}/History` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/History'].put,2490,5,2490,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/History'].put.tags[0],2495,11,2495,21
descriptions,info,operation method `GET` at path `/BankTransfers` is missing a `description`,$.paths['/BankTransfers'].get,2539,5,2539,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers'].get.tags[0],2545,11,2545,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers'].get.responses,2562,7,2562,16
descriptions,info,operation method `PUT` at path `/BankTransfers` is missing a `description`,$.paths['/BankTransfers'].put,2611,5,2611,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransfers'].put.tags[0],2616,11,2616,21
examples,error,"got string, want number",$.paths['/BankTransfers'].put.requestBody.content['application/json'].schema.example,2732,13,2732,20
descriptions,info,operation method `GET` at path `/BankTransfers/{BankTransferID}` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}'].get,2775,5,2775,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}'].get.tags[0],2781,11,2781,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers/{BankTransferID}'].get.responses,2786,7,2786,16
descriptions,info,operation method `GET` at path `/BankTransfers/{BankTransferID}/Attachments` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/Attachments'].get,2829,5,2829,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/Attachments'].get.tags[0],2835,11,2835,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers/{BankTransferID}/Attachments'].get.responses,2840,7,2840,16
descriptions,info,operation method `GET` at path `/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}'].get,2862,5,2862,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}'].get.tags[0],2868,11,2868,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}'].get.responses,2875,7,2875,16
operations,warn,paths are ambiguous with one another: `/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}` and `/BankTransfers/{BankTransferID}/Attachments/{FileName}`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'],2883,3,2883,57
operations,error,"paths `/BankTransfers/{BankTransferID}/Attachments/{AttachmentID}` and `/BankTransfers/{BankTransferID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'],2883,3,2883,57
descriptions,info,operation method `GET` at path `/BankTransfers/{BankTransferID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].get,2886,5,2886,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].get.tags[0],2892,11,2892,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].get.responses,2899,7,2899,16
descriptions,info,operation method `POST` at path `/BankTransfers/{BankTransferID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].post,2907,5,2907,9
descriptions,info,operation method `POST` at path `/BankTransfers/{BankTransferID}/Attachments/{FileName}` is missing a `summary`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].post,2907,5,2907,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].post.tags[0],2912,11,2912,21
descriptions,info,operation method `PUT` at path `/BankTransfers/{BankTransferID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].put,2948,5,2948,8
descriptions,info,operation method `PUT` at path `/BankTransfers/{BankTransferID}/Attachments/{FileName}` is missing a `summary`,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].put,2948,5,2948,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/Attachments/{FileName}'].put.tags[0],2953,11,2953,21
descriptions,info,operation method `GET` at path `/BankTransfers/{BankTransferID}/History` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/History'].get,2992,5,2992,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/History'].get.tags[0],2998,11,2998,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransfers/{BankTransferID}/History'].get.responses,3003,7,3003,16
descriptions,info,operation method `PUT` at path `/BankTransfers/{BankTransferID}/History` is missing a `description`,$.paths['/BankTransfers/{BankTransferID}/History'].put,3006,5,3006,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransfers/{BankTransferID}/History'].put.tags[0],3011,11,3011,21
descriptions,info,operation method `GET` at path `/BrandingThemes` is missing a `description`,$.paths['/BrandingThemes'].get,3055,5,3055,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BrandingThemes'].get.tags[0],3061,11,3061,21
operations,info,operation must define at least one 4xx error response,$.paths['/BrandingThemes'].get.responses,3064,7,3064,16
descriptions,info,operation method `GET` at path `/BrandingThemes/{BrandingThemeID}` is missing a `description`,$.paths['/BrandingThemes/{BrandingThemeID}'].get,3084,5,3084,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BrandingThemes/{BrandingThemeID}'].get.tags[0],3090,11,3090,21
operations,info,operation must define at least one 4xx error response,$.paths['/BrandingThemes/{BrandingThemeID}'].get.responses,3095,7,3095,16
descriptions,info,operation method `GET` at path `/BrandingThemes/{BrandingThemeID}/PaymentServices` is missing a `description`,$.paths['/BrandingThemes/{BrandingThemeID}/PaymentServices'].get,3115,5,3115,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BrandingThemes/{BrandingThemeID}/PaymentServices'].get.tags[0],3120,11,3120,21
operations,info,operation must define at least one 4xx error response,$.paths['/BrandingThemes/{BrandingThemeID}/PaymentServices'].get.responses,3126,7,3126,16
descriptions,info,operation method `POST` at path `/BrandingThemes/{BrandingThemeID}/PaymentServices` is missing a `description`,$.paths['/BrandingThemes/{BrandingThemeID}/PaymentServices'].post,3147,5,3147,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BrandingThemes/{BrandingThemeID}/PaymentServices'].post.tags[0],3152,11,3152,21
descriptions,info,operation method `GET` at path `/Budgets` is missing a `description`,$.paths['/Budgets'].get,3241,5,3241,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Budgets'].get.tags[0],3246,11,3246,21
operations,info,operation must define at least one 4xx error response,$.paths['/Budgets'].get.responses,3281,7,3281,16
descriptions,info,operation method `GET` at path `/Budgets/{BudgetID}` is missing a `description`,$.paths['/Budgets/{BudgetID}'].get,3311,5,3311,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Budgets/{BudgetID}'].get.tags[0],3316,11,3316,21
operations,info,operation must define at least one 4xx error response,$.paths['/Budgets/{BudgetID}'].get.responses,3337,7,3337,16
examples,error,"got object, want array",$.paths['/Budgets/{BudgetID}'].get.responses['200'].content['application/json'].schema.example,3344,15,3344,22
descriptions,info,operation method `GET` at path `/Contacts` is missing a `description`,$.paths['/Contacts'].get,3391,5,3391,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts'].get.tags[0],3397,11,3397,21
examples,error,"got string, want array",$.paths['/Contacts'].get.parameters[3].schema.example,3424,11,3424,18
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts'].get.responses,3456,7,3456,16
descriptions,info,operation method `PUT` at path `/Contacts` is missing a `description`,$.paths['/Contacts'].put,3580,5,3580,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Contacts'].put.tags[0],3585,11,3585,21
descriptions,info,operation method `POST` at path `/Contacts` is missing a `description`,$.paths['/Contacts'].post,3828,5,3828,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Contacts'].post.tags[0],3833,11,3833,21
descriptions,info,operation method `POST` `requestBody` at path `/Contacts` is missing a `description`,$.paths['/Contacts'].post.requestBody,4020,7,4020,18
descriptions,info,operation method `GET` at path `/Contacts/{ContactNumber}` is missing a `description`,$.paths['/Contacts/{ContactNumber}'].get,4044,5,4044,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactNumber}'].get.tags[0],4050,11,4050,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactNumber}'].get.responses,4062,7,4062,16
operations,warn,paths are ambiguous with one another: `/Contacts/{ContactNumber}` and `/Contacts/{ContactID}`,$.paths['/Contacts/{ContactID}'],4167,3,4167,24
operations,error,"paths `/Contacts/{ContactNumber}` and `/Contacts/{ContactID}` must not be equivalent, paths must be unique",$.paths['/Contacts/{ContactID}'],4167,3,4167,24
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}` is missing a `description`,$.paths['/Contacts/{ContactID}'].get,4170,5,4170,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}'].get.tags[0],4176,11,4176,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}'].get.responses,4181,7,4181,16
descriptions,info,operation method `POST` at path `/Contacts/{ContactID}` is missing a `description`,$.paths['/Contacts/{ContactID}'].post,4286,5,4286,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}'].post.tags[0],4291,11,4291,21
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}/Attachments` is missing a `description`,$.paths['/Contacts/{ContactID}/Attachments'].get,4406,5,4406,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/Attachments'].get.tags[0],4412,11,4412,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}/Attachments'].get.responses,4416,7,4416,16
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/Contacts/{ContactID}/Attachments/{AttachmentID}'].get,4440,5,4440,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/Attachments/{AttachmentID}'].get.tags[0],4446,11,4446,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}/Attachments/{AttachmentID}'].get.responses,4453,7,4453,16
operations,warn,paths are ambiguous with one another: `/Contacts/{ContactID}/Attachments/{AttachmentID}` and `/Contacts/{ContactID}/Attachments/{FileName}`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'],4461,3,4461,47
operations,error,"paths `/Contacts/{ContactID}/Attachments/{AttachmentID}` and `/Contacts/{ContactID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/Contacts/{ContactID}/Attachments/{FileName}'],4461,3,4461,47
descriptions,info,operation method `GET` at path `/Contacts/{ContactID}/Attachments/{FileName}` is missing a `description`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].get,4464,5,4464,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].get.tags[0],4470,11,4470,21
operations,info,operation must define at least one 4xx error response,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].get.responses,4477,7,4477,16
descriptions,info,operation method `POST` at path `/Contacts/{ContactID}/Attachments/{FileName}` is missing a `description`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].post,4485,5,4485,9
descriptions,info,operation method `POST` at path `/Contacts/{ContactID}/Attachments/{FileName}` is missing a `summary`,$.paths['/Contacts/{ContactID}/Attachments/{FileName}'].post,4485,5,4485,9
